Ausgabenbereich,Zahlungsgrund/Gegenstand/Maßnahme,Zahlungsempfänger*in,Belegart,Zahlungsdatum,Belegnummer,Summe,Shop,Bestelldatum,Rechnungsdatum,Rechnungsnummer,Buchungstag,Kontoauszug,Betrag,Zahlungsreferenz,Link
Investive Maßnahme,Allgemein: Geldtasche,Marcus Eikamp,Rechnung + Kontoauszug,13.05.2025,1,"4,80 €",Amazon,12.05.2025,12.05.2025,20251388302,13.05.2025,2025-3 S. 11,"4,80 €",CUO8Y72QZEOAM1FT,https://www.amazon.de/dp/B0189D1L84
Investive Maßnahme,Allgemein: Namesschilder,STANILA FOYA SHOP S.R.L.,Rechnung + Kontoauszug,11.04.2025,2,"25,63 €",Amazon,09.04.2025,10.04.2025,DE-30481784533144329-2025-1744279859,11.04.2025,2025-3 S. 3,"41,69 €",5IBEMG4AODUAOBMW,https://www.amazon.de/dp/B0D831KJQT
Investive Maßnahme,Allgemein: Flyer,0,Rechnung + Kontoauszug,30.12.1899,3,"0,00 €",,,,,,,,,
Investive Maßnahme,Allgemein: Sticker,0,Rechnung + Kontoauszug,30.12.1899,4,"0,00 €",,,,,,,,,
Investive Maßnahme,Allgemein: Handy,BRIDGE NINE OY,Rechnung + Kontoauszug,09.04.2025,5,"181,99 €",Refurbed,07.04.2025,07.04.2025,20471 SHIPPYPRO,09.04.2025,2025-3 S. 1,"181,99 €",1041404876659,https://www.refurbed.de/p/google-pixel-6/21493b/
Investive Maßnahme,Allgemein: Beschriftungsgerät,Proshop a/s,Rechnung + Kontoauszug,09.04.2025,6,"81,84 €",Proshop,08.04.2025,08.04.2025,20467889,09.04.2025,2025-3 S. 1,"81,84 €",1041407159016,https://www.proshop.de/Label-printer/Brother-P-Touch-Cube-Plus-PT-P710BT-Label-Printer/2808640
Investive Maßnahme,Kleben: 2K-Kleber,Adam Bober,Rechnung + Kontoauszug,09.04.2025,7,"15,50 €",Amazon,07.04.2025,09.04.2025,PL5002PCKM3U1U,09.04.2025,2025-3 S. 3,"15,50 €",57YOZQ3SEUYWLG3W,https://www.amazon.de/dp/B000KJP0QK
Investive Maßnahme,Kleben: Heißklebepistole,Amazon Business EU SARL,Rechnung + Kontoauszug,09.04.2025,8,"29,64 €",Amazon,07.04.2025,08.04.2025,DE51WGZTABEI,09.04.2025,2025-3 S. 2,"29,64 €",4RC4LQR2ULATKFZI,https://www.amazon.de/dp/B0BZPWWVH6
Investive Maßnahme,Kleben: Heißklebesticks,MIRROR COARE MARIN S.R.L.,Rechnung + Kontoauszug,11.04.2025,9,"6,07 €",Amazon,09.04.2025,10.04.2025,INV2504100886,11.04.2025,2025-3 S. 5,"41,69 €",5IBEMG4AODUAOBMW,https://www.amazon.de/dp/B0BXSMN2DS
Investive Maßnahme,Messen: IR Thermometer,Amazon Business EU SARL,Rechnung + Kontoauszug,09.04.2025,10,"21,99 €",Amazon,07.04.2025,08.04.2025,DE51WH1VABEI,09.04.2025,2025-3 S. 2,"46,17 €",YET6N2GI7BJZ6PY8,https://www.amazon.de/dp/B0CW1ZM991
Investive Maßnahme,Messen: Maßband,Amazon Business EU SARL,Rechnung + Kontoauszug,11.04.2025,11,"7,04 €",Amazon,07.04.2025,09.04.2025,DE51XZQ6ABEI,11.04.2025,2025-3 S. 3,"7,04 €",1SMLMWD4PWBVOTE8,https://www.amazon.de/dp/B0009VX1ZQ
Investive Maßnahme,Elektr(on)ik: Dritter Hand mit Lupe und Licht,Amazon Business EU SARL,Rechnung + Kontoauszug,11.04.2025,12,"35,14 €",Amazon,07.04.2025,10.04.2025,DE51Y47SABEI,11.04.2025,2025-3 S. 4,"130,77 €",1872HQLUNFRWYLTT,https://www.amazon.de/dp/B09Q5LYGPM
Investive Maßnahme,Elektr(on)ik: Elektronik Seitenschenider,FERSYS GmbH,Rechnung + Kontoauszug,11.04.2025,13,"15,01 €",endlich-sicher,10.04.2025,28.04.2025,F319861,11.04.2025,2025-3 S. 4,"440,56 €",1041450038925,https://endlich-sicher.de/elektronik-seitenschneider-super-knips-rostfrei/4243316051
Investive Maßnahme,Elektr(on)ik: Kontaktreiniger,RE-INvent Retail GmbH,Rechnung + Kontoauszug,11.04.2025,14,"10,89 €",voelkner,10.04.2025,10.04.2025,9136173682,11.04.2025,2025-3 S. 4,"250,61 €",1041450408483,https://www.voelkner.de/products/48350/Kontakt-Chemie-KONTAKT-60-PLUS-73909-AA-Kontaktreiniger-200ml.html?offer=874c23749abb64bd67017b901bc22d79
