,,,,,,,,,,,,SUMME,EIGENANTEIL
,Nr.,Stück,Was,Beschreibung,Hersteller,Typ,Shop,Preis SOLL,Versand,,Optional,"3175,4","175,399999999996"
,,,Bereich: Allgemein,,,,,,,,,"364,1",
,,0,Tisch,,,,,,,,,,
,,0,Werkstattwagen,,,,,,,,,,
,,1,Spendendose,,,,https://www.amazon.de/Tr%C3%B6tsch-Die-Maus-Spardose-Elefant/dp/B09427FQXD,"6,95",,,,,
,,2,Flyer,,,,,"60,01",,,,,
,,1,Sticker,,,,https://www.flyeralarm.com/de/shop/option/index/id/6771/quantity/14683552/shipping/1#options,"46,1",,,,,
,,0,"Notizzettel, mit Logo",,,,,,,,,,
,,0,Stifte,,,,,,,,,,
,,1,Handy,,OnePlus,Nord 2 5G,https://www.refurbed.de/p/oneplus-nord-2-5g/#features,"116,99",,,,,
,,0,Freifunk Router,,ASUS,TUF-AX4200,https://geizhals.de/asus-tuf-gaming-tuf-ax4200-90ig07q0-mo3100-a2870941.html,"112,78",,,,,
,,1,Beschriftungsgerät,,Brother,P-Touch Cube Plus,https://www.voelkner.de/products/1120674/Brother-P-touch-CUBE-Plus-P710BT-Beschriftungsgeraet-Geeignet-fuer-Schriftband-TZe-3.5-mm-6-mm-9-mm-12-mm-24mm.html?ref=19&offer=676a12ebefab371703409c738ad02791&utm_source=idealo&utm_medium=CPC&utm_campaign=D741271&utm_content=intern&context=ve,"74,04",,,,,
,,0,Beschriftungsband,weiß,,,https://www.amazon.de/gp/product/B0CYBXBCVB,"11,99",,,,,
,,0,Beschriftungsband,rot,,,https://www.amazon.de/gp/product/B0D56VZWD9,"11,99",,,,,
,,0,Beschriftungsband,blau,,,https://www.amazon.de/gp/product/B0D56XMSRH,"11,99",,,,,
,,0,Laufzettel,,,,,,,,,,
,,,,,,,,,,,,,
,,,Bereich: Kleben,,,,,,,,,"37,45",
,,1,2K Kleber,Endfest 300,UHU,,https://amazon.de/dp/B000KJP0QK,"7,75",,,,,
,,1,Heißklebepistole,,Steinel,,https://amazon.de/dp/B0BZPWWVH6,"29,7",,,,,
,,0,Doppelseitiges Klebeband,,,,,,,,,,
,,0,Schuhkleber,,,,,,,,,,
,,0,Sekundenkleber,,,,,,,,,,
,,0,Panzerband,,,,https://amazon.de/dp/B077VNDNJ8,"6,25",,,,,
,,0,Reflowanlage zum Lösen von Kleber,,,,,,,,,,
,,,,,,,,,,,,,
,,,Bereich: Messen,,,,,,,,,"48,56",
,,1,IR Thermometer,,,,https://amazon.de/dp/B0CW1ZM991,"21,99",,,,,
,,1,Endoskopkamera,,,,https://amazon.de/dp/B0CZHT2VHS,"19,99",,,,,
,,0,Zollstock,,,,,,,,,,
,,1,Maßband,,,,https://amazon.de/dp/B0009VX1ZQ,"6,58",,,,,
,,,,,,,,,,,,,
,,,Bereich: Elektrik/Elektronik,,,,,,,,,"1220,85",
,,0,Lötstation,,Weller,WE 1010,https://www.voelkner.de/products/1069338/Weller-WE-1010-230V-F-G-Loetstation-digital-70W-100-450C.html?ref=19&offer=3f6c9c6f07dc9be30b93fc5f17791d0d&utm_source=idealo&utm_medium=CPC&utm_campaign=X812071&utm_content=intern&context=ve,"143,1",,,,,
,,0,Lötzinn,100g,Felder,ISO-Core Ultra-Clear,https://shop.blinkyparts.com/de/Felder-ISO-Core-Ultra-Clear-Loetzinn-Sn100Ni-100g-Spule-0-75mm-Durchmesser/blink236442,"14,99",,,,,
,,0,Flussmittel,,,,,,,,,,
,,0,Entlötpumpe,,Weller,SA21A,https://www.voelkner.de/products/6434769/Weller-SA21A-Entloetsaugpumpe-Antistatisch.html?ref=19&offer=852df6ac00d020c23f87426882785e76&utm_source=idealo&utm_medium=CPC&utm_campaign=D291272&utm_content=intern&context=ve,"28,78",,,,,
,,0,Entlötlitze,,,,https://www.amazon.de/Fixpoint-Entl%C3%B6tlitze-Entfernung-L%C3%B6tstellen-45246/dp/B01M7YZ3FM,"3,89",,,,,
,,1,Dritter Hand mit Lupe und Licht,,,,https://www.amazon.de/Vergr%C3%B6%C3%9FErung-Tageslicht-Lupenlampe-Schwerlast-Beleuchtete/dp/B09Q5LYGPM,"35,19",,,,,
,,0,Lötrauchabsauger,,,,https://www.amazon.de/L%C3%B6trauchabsaugung-Aktivkohlefilter-Rauchabzug-Absaugger%C3%A4t-Elektronikzubeh%C3%B6r/dp/B003A6D31E,"33,99",,,,,
,,0,Wasser,,,,,,,,,,
,,1,Elektronik Seitenschenider,,KNIPEX,78 03 125,https://www.voelkner.de/products/10901/Knipex-Super-Knips-78-03-125-Elektronik-u.-Feinmechanik-Printzange-ohne-Facette-125mm.html?offer=df71c05e0e314dfc5d45811001865dd2,"18,79",,,,,
,,0,Druckluftspray,6x 400ml,Spraytive,,https://www.amazon.de/gp/product/B06XCX7MJ4,"20,99",,,,,
,,1,Kontaktreiniger,,KONTAKT CHEMIE,KONTAKT 60 PLUS,https://www.voelkner.de/products/48350/Kontakt-Chemie-KONTAKT-60-PLUS-73909-AA-Kontaktreiniger-200ml.html?offer=874c23749abb64bd67017b901bc22d79,"11,21",,,,,
,,1,Leiterplattenreiniger,,KONTAKT CHEMIE,KONTAKT LR,https://www.voelkner.de/products/18737/Kontakt-Chemie-KONTAKT-LR-84009-AA-Leiterplattenreiniger-200ml.html?offer=f4074fd08918bc5ddf810380470d9846,"8,2",,,,,
,,0,Glasfaserpinsel,,Läufer,69119,https://www.amazon.de/L%C3%A4ufer-69119-Glasfaserradierstift-nachf%C3%BCllbarer-Glasradierer/dp/B000WKZHOM,"7,89",,,,,
,,1,Isolier- und Schutzlack,,KONTAKT CHEMIE,PLASTIK 70,https://www.voelkner.de/products/76842/Kontakt-Chemie-PLASTIK-70-74309-AH-Isolier-und-Schutzlack-200ml.html?offer=15697ab97026d11addf85a8570821608,"10,2",,,,,
,,2,Verdrahtungszange,,KNIPEX,13 02 160,https://forum.makerspace-gt.de/t/geht-weiter-werkzeugausstattung-repair-cafe/890/15?u=nielsfechtel,30,,,,,
,,1,"Abisolierzange, automatisch",,KNIPEX,12 62 180,https://www.knipex.de/produkte/abisolierzangen-und-abmantelungswerkzeuge/automatische-abisolierzange/automatische-abisolierzange/1262180,30,,,,,
,,1,Aderendhülsenzange,,KNIPEX,97 55 04,https://forum.makerspace-gt.de/t/geht-weiter-werkzeugausstattung-repair-cafe/890/15?u=nielsfechtel,"121,48",,,,,
,,2,Aderendhülsen,"Je 50 AEH für 0,5 / 2,5 mm² und je 100 für 0,75 / 1 / 1,5 mm²",KNIPEX,97 99 906,https://www.knipex.de/produkte/kabelverbinder/sortimentsboxen-mit-isolierten-aderendhuelsen/sortimentsboxen-mit-isolierten-aderendhuelsen/9799906,15,,,,,
,,2,"Aderendhülsen, unisoliert","Je 500 AEH für 0,5 / 0,75 mm², 400 x 1 mm², 300 x 1,5 mm², 200 x 2,5 mm²",KNIPEX,97 99 910,https://www.knipex.de/produkte/kabelverbinder/sortimentsboxen-mit-unisolierten-aderendhuelsen/sortimentsboxen-mit-unisolierten-aderendhuelsen/9799910,15,,,,,
,,2,"Aderendhülsen, Twin","Je 50 AEH für 2 x 0,75 mm² / 2 x 1 mm² / 2 x 1,5 mm² / 2 x 2,5 mm²",KNIPEX,97 99 908 ,https://www.knipex.de/produkte/kabelverbinder/sortimentsboxen-mit-twin-aderendhuelsen/sortimentsboxen-mit-twin-aderendhuelsen/9799908,15,,,,,
,,1,Seitenscheider,,KNIPEX,70 06 160,https://www.voelkner.de/products/10937/Knipex-70-06-160-VDE-Seitenschneider-mit-Facette-160mm.html?offer=b3ddabb0a3185a16535f94cf56883b90,"22,99",,,,,
,,1,Entmanteler,,KNIPEX,16 95 01,https://www.voelkner.de/products/907642/Knipex-16-95-01-SB-ErgoStrip-Kabelentmanteler-Geeignet-fuer-Rundkabel-Feuchtraumkabel-Datenkabel-Koaxialkabel-4.8-bis-13mm-0.2.html?offer=76c147be7363ae8b8dfe4d44d5755561,"29,79",,,,,
,,1,Abisolierzange,,KNIPEX,11 02 160,https://www.knipex.de/produkte/abisolierzangen-und-abmantelungswerkzeuge/abisolierzangen-universal/abisolierzangen-universal/1102160,20,,,,,
,,1,Crimpzange,,KNIPEX,97 52 36,https://www.voelkner.de/products/2527058/Knipex-PreciForce-97-52-36-Crimpzange-1-Stueck-Isolierte-Kabelschuhe-Steckverbinder-Stossverbinder.html?ref=19&offer=2287d230dea834f0826824ae39d18912&utm_source=idealo&utm_medium=CPC&utm_campaign=A393112&utm_content=intern&context=ve,"79,99",,,,,
,,1,Kabelschuhe,,,,https://www.amazon.de/gp/product/B093YQN69X,"7,49",,,,,
,,1,Wago Klemmen,60x Durchgangsverbinder,WAGO,221-2411,https://www.amazon.de/Wago-Verbindungsklemme-221-413-50-St%C3%BCck/dp/B08X6CPFNR,"20,38",,,,,
,,1,Wago Klemmen,50x 3-Leiter,WAGO,221-413,https://www.amazon.de/Wago-Verbindungsklemme-221-413-50-St%C3%BCck/dp/B00JB3U9CG,"16,98",,,,,
,,2,Wago Klemmen,25x 5-Leiter,WAGO,221-415,https://www.amazon.de/Wago-Verbindungsklemme-221-413-50-St%C3%BCck/dp/B0107SYYGU,"13,68",,,,,
,,2,Lüsterklemmen,,Connex,COXB370390 ,https://www.amazon.de/Connex-L%C3%BCsterklemmen-12-polige-Klemmleisten-COXB370390/dp/B01N0X5IVW,"4,79",,,,,
,,1,Duspol Spannungsprüfer,,BENNING,DUSPOL digital,https://www.voelkner.de/products/422664/Benning-DUSPOL-digital-Zweipoliger-Spannungspruefer-CAT-III-1000-V-CAT-IV-600V-LCD-Vibration-Akustik.html?ref=19&offer=ca728f4ce739838ee6ca4c8f40e0b9b7&utm_source=idealo&utm_medium=CPC&utm_campaign=Q72475&utm_content=intern&context=ve,"84,65",,,,,
,,1,Berührungsloser Spannungsprüfer,,PeakTech,P 1032,https://www.peaktech.de/PeakTech-P-1032-AC-Spannungspruefer-12-1000-V-AC-mit-Vibration/P-1032,"23,45",,,,,
,,1,Multimeter,,PeakTech,P 1650,https://www.amazon.de/dp/B00664VE90,"84,53",,,,,
,,1,Oszilloskop Multimeter,,VISLONE,ET828,https://www.amazon.de/gp/product/B08DHHHMXJ,"69,59",,,,,
,,1,Messleitungen,,PeakTech,P 8200,https://www.reichelt.de/de/de/shop/produkt/pruefmittel-set_14-teilig_elektronische_anwendungen-154654?utm_source=psuma&utm_medium=idealo.de&PROVID=2378,"47,02",,,,,
,,0,Netzteil ,,,,https://www.amazon.de/gp/product/B071HW378T,"69,99",,,,,
,,0,DC Adapter,,,,https://www.amazon.de/gp/product/B009PH1FUI,"3,37",,,,,
